<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.01.10	7772.04	8113.56	7662.48	8040.97	107203	0	3600
2020.01.13	8083.28	8172.75	8031.09	8113.98	65465	0	3600
2020.01.14	8115.84	8836.88	8089.59	8722.65	132409	0	3600
2020.01.15	8723.13	8878.78	8543.88	8806.31	124234	0	3600
2020.01.16	8805.37	8842.60	8567.57	8661.92	115396	0	3600
2020.01.17	8665.19	8988.88	8647.88	8887.83	104412	0	3600
2020.01.20	8699.55	8724.01	8482.40	8652.85	89201	0	3600
2020.01.21	8652.95	8750.78	8469.04	8703.36	72655	0	3600
2020.01.22	8704.86	8771.62	8554.92	8621.03	70193	0	3600
2020.01.23	8621.04	8648.05	8262.48	8364.56	96674	0	3600
2020.01.24	8364.02	8489.79	8202.76	8477.86	87655	0	3600
2020.01.27	8566.94	8968.76	8519.42	8926.99	90108	0	3600
2020.01.28	8928.86	9161.42	8857.43	9025.14	72797	0	3600
2020.01.29	9025.04	9420.49	9021.38	9337.66	102792	0	0
2020.01.30	9337.67	9543.58	9170.40	9537.11	99238	0	3600
2020.01.31	9539.14	9546.16	9182.71	9333.02	81814	0	3600
2020.02.03	9423.02	9587.75	9204.12	9255.59	80464	0	3600
2020.02.04	9255.51	9325.63	9062.25	9119.02	67488	0	3600
2020.02.05	9119.49	9746.24	9113.22	9670.53	77034	0	3600
2020.02.06	9669.51	9836.72	9512.04	9720.14	83102	0	3600
2020.02.07	9720.17	9849.90	9637.92	9728.13	72333	0	3600
2020.02.10	10059.02	10175.58	9741.91	9850.72	86702	0	3600
2020.02.11	9844.75	10363.95	9695.01	10222.25	76736	0	3600
2020.02.12	10222.16	10462.81	10204.02	10371.87	93308	0	3600
2020.02.13	10374.49	10488.50	10070.61	10165.32	111795	0	3600
2020.02.14	10164.08	10372.46	10086.49	10328.74	99914	0	3600
2020.02.17	9751.03	9982.31	9457.71	9630.22	126235	0	3600
2020.02.18	9629.08	10253.44	9595.17	10140.67	99937	0	3600
2020.02.19	10133.16	10282.88	9298.58	9599.20	81670	0	3600
2020.02.20	9598.50	9690.05	9399.08	9593.48	96852	0	3600
2020.02.21	9594.83	9750.63	9561.23	9653.63	88328	0	3600
2020.02.24	9867.71	10005.74	9470.90	9588.32	100155	0	3600
2020.02.25	9589.37	9658.43	9229.24	9366.21	102276	0	3600
2020.02.26	9358.35	9404.04	8607.39	8726.98	133111	0	3600
2020.02.27	8726.93	8952.73	8506.81	8737.97	116407	0	3600
2020.02.28	8740.61	8881.17	8419.98	8653.31	152343	0	3600
2020.03.02	8499.25	8930.03	8471.92	8926.53	122183	0	3600
2020.03.03	8925.44	8952.72	8644.12	8719.56	90314	0	3600
2020.03.04	8717.95	8827.49	8652.84	8715.07	93747	0	3600
2020.03.05	8712.46	9150.60	8710.77	9097.80	114487	0	3600
2020.03.06	9090.99	9160.51	8982.03	9117.59	111289	0	3600
2020.03.09	8249.65	8262.27	7616.11	7839.19	195541	0	3600
2020.03.10	7838.83	8135.99	7719.84	7979.10	127560	0	3600
2020.03.11	7979.11	8019.84	7574.12	7843.00	128997	0	3600
2020.03.12	7842.95	7967.45	5574.94	5694.96	189770	0	3600
2020.03.13	5693.53	5950.28	3883.11	5421.23	210951	0	5000
2020.03.16	5211.55	6997.23	4410.12	4888.93	161227	0	0
2020.03.17	4889.29	7159.73	4850.47	5453.66	77565	0	3200
2020.03.18	5447.71	5549.12	5006.14	5322.27	75103	0	3200
2020.03.19	5322.06	6380.87	5251.61	6238.06	72895	0	3200
2020.03.20	6228.50	6928.72	5657.72	5951.47	67507	0	3200
2020.03.23	5938.59	6619.25	5669.07	6399.48	68247	0	3200
2020.03.24	6416.85	6850.09	6342.07	6735.26	72083	0	3200
2020.03.25	6674.04	6964.82	6457.28	6615.77	71247	0	3200
